INSTITUICAO_ENSINO_ALUNO,ANO,NOME
Rede Decisão,2021,ALUNO-1
Escola Pública,2020,ALUNO-10
Escola Pública,2021,ALUNO-100
Escola Pública,2021,ALUNO-1001
Escola Pública,2021,ALUNO-1002
Escola Pública,2020,ALUNO-1003
Escola Pública,2021,ALUNO-1004
Escola Pública,2020,ALUNO-1006
Escola Pública,2021,ALUNO-1007
Escola Pública,2021,ALUNO-1009
Escola Pública,2021,ALUNO-1010
Escola Pública,2020,ALUNO-1012
Escola Pública,2021,ALUNO-1013
Escola Pública,2021,ALUNO-1014
Rede Decisão,2021,ALUNO-1015
Escola Pública,2021,ALUNO-1016
Rede Decisão,2021,ALUNO-1017
Escola Pública,2020,ALUNO-1018
Escola Pública,2020,ALUNO-1019
Escola Pública,2021,ALUNO-102
FIAP,2020,ALUNO-1020
Escola Pública,2020,ALUNO-1021
Escola Pública,2021,ALUNO-1022
Escola Pública,2021,ALUNO-1023
Escola Pública,2020,ALUNO-1024
Escola Pública,2021,ALUNO-1026
Rede Decisão,2021,ALUNO-1027
Escola Pública,2021,ALUNO-1028
Escola Pública,2021,ALUNO-1029
Escola Pública,2021,ALUNO-103
Escola Pública,2021,ALUNO-1031
Escola Pública,2021,ALUNO-1032
Escola Pública,2021,ALUNO-1034
Escola Pública,2021,ALUNO-1035
Escola Pública,2020,ALUNO-1036
Escola Pública,2021,ALUNO-1038
Escola Pública,2021,ALUNO-104
Escola Pública,2020,ALUNO-1041
Escola Pública,2021,ALUNO-1043
Escola Pública,2021,ALUNO-1044
Escola Pública,2020,ALUNO-1046
Escola Pública,2020,ALUNO-1047
Escola Pública,2021,ALUNO-1049
Escola Pública,2021,ALUNO-105
Escola Pública,2021,ALUNO-1050
Escola Pública,2021,ALUNO-1051
Escola Pública,2021,ALUNO-1055
Escola Pública,2020,ALUNO-1056
Escola Pública,2021,ALUNO-1057
Escola Pública,2021,ALUNO-106
Escola Pública,2020,ALUNO-1061
Escola Pública,2021,ALUNO-1063
Escola Pública,2021,ALUNO-1064
Escola Pública,2021,ALUNO-1065
Escola Pública,2021,ALUNO-1066
Escola Pública,2021,ALUNO-1067
Escola Pública,2021,ALUNO-1068
Escola Pública,2021,ALUNO-1070
Escola Pública,2021,ALUNO-1071
Escola Pública,2021,ALUNO-1072
Escola Pública,2021,ALUNO-1073
Rede Decisão,2021,ALUNO-1075
Escola Pública,2020,ALUNO-1077
Escola Pública,2021,ALUNO-1078
Escola Pública,2020,ALUNO-1079
Escola Pública,2020,ALUNO-1081
Escola Pública,2021,ALUNO-1083
Escola Pública,2021,ALUNO-1084
Escola Pública,2021,ALUNO-1085
Escola Pública,2021,ALUNO-1086
Escola Pública,2021,ALUNO-1087
Escola Pública,2020,ALUNO-1088
Escola Pública,2021,ALUNO-1089
Escola Pública,2021,ALUNO-109
Escola Pública,2021,ALUNO-1090
Escola Pública,2020,ALUNO-1092
Rede Decisão,2021,ALUNO-1093
Escola Pública,2020,ALUNO-1094
Escola Pública,2021,ALUNO-1095
Rede Decisão,2021,ALUNO-1096
Rede Decisão/União,2020,ALUNO-1097
Escola Pública,2021,ALUNO-1098
Escola Pública,2021,ALUNO-1099
Rede Decisão,2021,ALUNO-11
FIAP,2020,ALUNO-1100
Escola Pública,2021,ALUNO-1103
Escola Pública,2021,ALUNO-1104
Escola Pública,2021,ALUNO-1105
Escola Pública,2020,ALUNO-1106
Escola Pública,2021,ALUNO-1107
Escola Pública,2021,ALUNO-111
Escola Pública,2021,ALUNO-1110
Rede Decisão,2021,ALUNO-1112
Escola Pública,2021,ALUNO-1114
Escola Pública,2021,ALUNO-1115
Escola Pública,2021,ALUNO-1117
Escola Pública,2021,ALUNO-1119
Escola Pública,2021,ALUNO-112
Escola Pública,2021,ALUNO-1122
Rede Decisão,2021,ALUNO-1123
Escola Pública,2021,ALUNO-1124
Escola Pública,2021,ALUNO-1126
Rede Decisão,2021,ALUNO-1127
Rede Decisão,2021,ALUNO-1128
Escola Pública,2021,ALUNO-1129
Escola Pública,2021,ALUNO-113
Rede Decisão,2021,ALUNO-1130
Escola Pública,2021,ALUNO-1131
Rede Decisão,2021,ALUNO-1132
Escola Pública,2020,ALUNO-1133
Escola Pública,2020,ALUNO-1134
Escola Pública,2021,ALUNO-1136
UNISA,2020,ALUNO-1137
Escola Pública,2021,ALUNO-1139
Escola Pública,2021,ALUNO-1140
Escola Pública,2021,ALUNO-1141
Escola Pública,2020,ALUNO-1142
Escola Pública,2021,ALUNO-1143
Escola Pública,2020,ALUNO-1145
Escola Pública,2021,ALUNO-1146
Escola Pública,2021,ALUNO-1147
Escola Pública,2020,ALUNO-1148
Escola Pública,2021,ALUNO-1149
Escola Pública,2020,ALUNO-115
Escola Pública,2021,ALUNO-1150
Escola Pública,2021,ALUNO-1151
Escola Pública,2021,ALUNO-1155
Escola Pública,2021,ALUNO-1156
Escola Pública,2021,ALUNO-1157
UNISA,2020,ALUNO-1158
Rede Decisão,2021,ALUNO-1159
Escola Pública,2021,ALUNO-1160
Escola Pública,2021,ALUNO-1161
Escola Pública,2021,ALUNO-1164
Escola Pública,2021,ALUNO-1165
Escola Pública,2021,ALUNO-1166
Escola Pública,2021,ALUNO-1167
Escola Pública,2021,ALUNO-1168
Escola Pública,2021,ALUNO-117
Escola Pública,2021,ALUNO-1170
Rede Decisão,2021,ALUNO-1171
Escola Pública,2020,ALUNO-1172
Escola Pública,2020,ALUNO-1173
Rede Decisão,2021,ALUNO-1174
Escola Pública,2021,ALUNO-1175
Rede Decisão,2021,ALUNO-1176
Escola Pública,2020,ALUNO-1178
Escola Pública,2021,ALUNO-118
Escola Pública,2021,ALUNO-1181
Escola Pública,2021,ALUNO-1182
Escola Pública,2021,ALUNO-1183
Escola Pública,2020,ALUNO-1187
Escola Pública,2020,ALUNO-1188
UNISA,2020,ALUNO-1189
Escola Pública,2021,ALUNO-1190
Rede Decisão,2021,ALUNO-1191
Escola Pública,2020,ALUNO-1193
Escola Pública,2021,ALUNO-1195
Escola Pública,2021,ALUNO-1196
Rede Decisão,2021,ALUNO-1197
Escola Pública,2021,ALUNO-1198
Escola Pública,2021,ALUNO-1199
Rede Decisão/União,2020,ALUNO-12
Escola Pública,2021,ALUNO-120
Escola Pública,2020,ALUNO-1200
Rede Decisão,2021,ALUNO-1201
Escola Pública,2021,ALUNO-1204
Escola Pública,2021,ALUNO-1205
Escola Pública,2021,ALUNO-1206
Escola Pública,2021,ALUNO-1210
Escola Pública,2021,ALUNO-1211
Escola Pública,2021,ALUNO-1212
Escola Pública,2021,ALUNO-1214
Escola Pública,2021,ALUNO-1215
UNISA,2020,ALUNO-1216
Rede Decisão,2021,ALUNO-1217
Rede Decisão/União,2020,ALUNO-1218
Rede Decisão,2021,ALUNO-1219
Escola Pública,2021,ALUNO-1221
Rede Decisão/União,2020,ALUNO-1222
Escola Pública,2021,ALUNO-1223
Escola Pública,2020,ALUNO-1225
Escola Pública,2021,ALUNO-1226
Escola Pública,2021,ALUNO-1228
Escola Pública,2021,ALUNO-1229
Rede Decisão,2021,ALUNO-1230
Escola Pública,2021,ALUNO-1231
Escola Pública,2021,ALUNO-1232
Rede Decisão,2021,ALUNO-1233
Escola Pública,2021,ALUNO-1234
Escola Pública,2021,ALUNO-1237
Escola Pública,2020,ALUNO-1238
Escola Pública,2021,ALUNO-1239
Escola Pública,2021,ALUNO-124
Escola Pública,2021,ALUNO-1240
Escola Pública,2020,ALUNO-1241
Escola Pública,2021,ALUNO-1242
Escola Pública,2021,ALUNO-1244
